GRAND,NAME,RIVER,STATE,YEAR,HEIGHT,LEN,AREA_SKM,CAP_MCM,DIS_AVG_LS,MAIN_USE,QUALITY,LONG,LAT
51,Cushman 1,North Fork of Skokomish River,Washington,1926,79,339,12.96,595.5,12999,Hydroelectricity,2: Good,-123.224023,47.422917
47,Culmback,Sultan River,Washington,1983,80,195,5.72,189,9627,Hydroelectricity,2: Good,-121.684206,47.97651
48,Chaplain Lake South Dam,Chaplain Creek,Washington,1930,23,274,1.6,22,788,Water supply,2: Good,-121.832382,47.947917
41,Ross,Skagit River,Washington,1949,165,396,34.98,1791.9,71572,Hydroelectricity,2: Good,-121.067305,48.732466
42,Diablo,Skagit River,Washington,1929,119,360,2.56,111,83329,Hydroelectricity,2: Good,-121.13032,48.714583
43,West Pass Dike,Baker River,Washington,1959,35,366,17.56,352.1,25088,Hydroelectricity,2: Good,-121.688244,48.647945
44,Lower Baker Dam,Baker,Washington,1927,84,174,7.12,200.6,34312,Hydroelectricity,2: Good,-121.739583,48.553012
40,Whatcom Lake Dam,Whatcom Creek,Washington,1937,6,34,18.64,95,4125,Recreation,2: Good,-122.417583,48.762097
2045,Canada Falls,West Branch of Penobscot River,Maine,1921,15,233,6.36,33,10263,Hydroelectricity,2: Good,-69.999565,45.871088
2046,Rainbow Lake Dam,Rainbow Stream,Maine,1930,3,136,6.38,14.9,612,Hydroelectricity,2: Good,-69.163584,45.820581
2047,Ragged Lake,Ragged Stream,Maine,1937,9,379,9.91,49.5,2304,Hydroelectricity,2: Good,-69.332849,45.786217
2048,Millinocket Lake,Millinocket Stream,Maine,1910,6,194,34.42,108.1,6258,Hydroelectricity,2: Good,-68.732759,45.740901
2042,Penobscot Lake Dam,Penobscot Brook,Maine,1930,5,172,4.01,11.5,1987,Hydroelectricity,2: Good,-70.220391,45.911725
2043,Seboomook,West Branch of Penobscot River,Maine,1936,18,131,25.1,196.1,27488,Hydroelectricity,2: Good,-69.733195,45.909781
